"ID_ADRESY"	"ULICE"	"CISLO_ORIENTACNI"	"CISLO_POPISNE"	"PSC"	"NAZEV"
247	"Benátky"	""	15	40721	""
248	"Pivovarská"	""	3	40721	""
249	"Klášterní"	"9"	75	40001	""
250	"Husova"	""	47	43163	""
251	"Rumburská"	""	1920	40747	""
252	"Masarykovatrída"	"42"	433	41501	""
253	"Obráncumíru"	""	2629	43401	""
254	"Pivovarská"	""	116	40323	""
256	"námestíProkopaVelkého"	""	1951	43801	""
257	"Vilová"	""	18	41705	""
258	"Žižkovonámestí"	""	81	43801	""
259	"Ždárská"	""	22	58263	""
260	"Trebícská"	"10"	342	59401	""
261	"Dobrovského"	""	2027	58001	""
262	"Doubravník"	""	109	59261	""
263	"Domanín"	""	127	59315	""
264	"Biskupice"	""	2	67557	""
265	"Vladislav"	""	130	67501	""
266	"Pávovská"	"19"	3106	58601	""
267	"Prumyslová"	""	1755	58301	""
268	"Vrchlického"	""	2	58601	""
269	"VObore"	""	236	39470	""
270	"HorníDubenky"	""	145	58851	""
271	"Novýdvur"	""	318	59301	""
272	"Pivovarská"	""	856	39317	""
273	"Uhrínovice"	""	26	58832	""
274	"NadZámkem"	""	7	67401	""
275	"Masarykovonámestí"	"67"	66	58601	""
276	"JanaAutengrubera"	""	318	39501	""
277	"Hladov"	""	76	58833	""
278	"5.kvetna"	""	1	39601	""
279	"Havlíckova"	"130"	4252	76701	""
280	"Mýto"	""	44	76331	""
281	"Velkénámestí"	"9"	24	76701	""
282	"Dr.E.Beneše"	""	512	76502	""
283	"Hrbitovní"	"2"	484	75701	""
284	"DružstevníI"	""	195	76321	""
285	"NaSádkách"	"9"	2798	76701	""
286	"Neradice"	""	369	68816	""
287	"Tranava"	""	23	76318	""
288	"Švermova"	""	101	76302	""
289	"DolníJasenka"	""	190	75501	""
290	"Pivovarská"	""	6	75661	""
291	"Moravské námestí"	""	15	60200	""
292	"Kubíckova"	""	8	63500	""
293	"Kubickova"	""	8	63500	""
294	"Smetanovo námestí"	""	59	57001	""
295	"Sobesuky"	""	9	33501	""
296	"Jánská"	""	21	60200	""
297	"Masarykova"	""	31	60200	""
298	"Orlí"	""	16	62100	""
299	"Zelný trh"	""	8	60200	""
300	"Na Poricí"	""	36	11000	""
301	"Veverí"	""	13	60200	""
302	"Nám.Svobody"	""	12	69142	""
303	"Masarykova"	""	567	76326	""
304	"Na Ladech"	""	414	25084	""
305	"Moravské námestí"	""	12	60200	""
306	"Kvetinárská"	""	3	60200	""
307	"Tešnov"	"1"	1059	11000	""
308	"Kozí"	""	10	60200	""
309	"Korunní"	""	23	12000	""
310	"Králova"	""	28	61600	""
311	"Dukelská"	""	8	61400	""
312	"Panská"	""	6	60200	""
313	"Nádražní"	""	114	15000	""
314	"Valcharska"	""	77	61200	""
315	"Pavlovská"	""	40	69201	""
316	"Veslarská"	""	46	63700	""
317	"Cimburkova"	""	4	61200	""
318	"Novobranská"	""	3	60200	""
319	"T.G.Masaryka"	""	59	35733	""
320	"Josefská"	""	5	60200	""
321	"Strední"	""	61	60200	""
322	"Mendlovo námestí"	""	10	60300	""
323	"Botanická"	""	1	60200	""
324	"Jakubská"	""	7	60200	""
325	"Ve Vankovce"	""	1	60200	""
326	"Havlíckova"	""	1016	66442	""
327	"Masarykovo námestí"	""	212	76361	""
328	"Dvorákova"	""	1	60200	""
329	"Josefská"	""	14	60200	""
330	"Cápkova"	""	5	60200	""
331	"Pod Špitálem"	""	363	15600	""
332	"Široká"	""	89	38101	""
333	"Prední Výton"	""	32	38273	""
334	"Orlí"	"17"	469	60200	""
335	"Mojmírovo námestí"	""	10	61200	""
336	"Horská"	"4"	1751	12800	""
337	"Palackého trída"	""	148	61200	""
338	"Zborovská"	""	6	15000	""
339	"Komenského nám."	""	8	60200	""
340	"Nám. Svobody"	""	21	6020	""
341	"Vídenská"	""	125	61900	""
342	"Námestí"	""	9	38278	""
343	"Kalvodova"	""	5	60000	""
344	"Biskupská"	""	6	60200	""
345	"Veverí"	""	14	60200	""
346	"Palackého trída"	""	60	61200	""
347	"Kapucínské námestí"	"6"	100	60200	""
348	"Jezuitská"	""	7	60200	""
349	"Kozí"	""	8	60300	""
350	"Lipová lázne"	""	8	79061	""
351	"Nádražní"	""	7	60200	""
352	"Rooseveltova"	""	7	60200	""
353	"Komenského tr."	"17"	49	69701	""
354	"Lázenská"	""	102	54701	""
355	"Kopecná"	""	43	60200	""
356	"Lidická"	""	12	60200	""
357	"Hornická"	""	799	54233	""
358	"Dvorská"	""	4	67801	""
359	"Podveská"	""	22	62400	""
360	"Hybešova"	""	30	60200	""
361	"Politických veznu"	""	13	11000	""
362	"Weilova 1144"	""	2	10200	""
363	"Trída Kapitána Jaroše"	""	3	60200	""
364	"Dominikánská"	""	7	60200	""
365	"Námestí 28. Ríjna"	""	16	60200	""
366	"Namesti Miru"	""	6	38773	""
367	"Lidická"	""	23	60200	""
368	"Parížská"	""	10	11000	""
369	"Bukovany"	""	70	69631	""
370	"Nebušická"	""	93	16400	""
371	"Nádražní"	""	755	66501	""
372	"Dobrovského"	""	29	61200	""
373	"Veverí"	""	65	60200	""
374	"Úvoz"	""	56	60200	""
375	"Nádražní"	""	115	67904	""
376	"Cihlárská"	""	19	60200	""
377	"Smila Osovského"	""	14	67401	""
378	"Pekarská"	""	76	60200	""
379	"Palackého"	"1"	740	11000	""
380	"Maltézké námestí"	""	4	11800	""
381	"Kounicova"	""	35	60200	""
382	"Gorkého"	""	12	60200	""
383	"Na Porici"	""	15	11000	""
384	"Plaská"	"8"	615	15000	""
385	"Národní"	""	22	11000	""
386	"Ve Vankovce"	""	1	60200	""
387	"Zelný trh"	""	2	60200	""
388	"Husova"	""	30	57201	""
389	"Minoritská"	""	4	60200	""
390	"Mostecká"	""	279	60002	""
391	"Ve Vankovce"	""	1	60200	""
392	"trída Tomáše Bati"	""	21	76190	""
393	"Hlavní námestí"	""	22	79401	""
394	"Bílá ctvrt"	""	447	76326	""
395	"Opatovická"	""	16	11000	""
396	"Vachova"	""	5	60200	""
397	"Gorkého"	"38"	9	60200	""
398	"Behounská"	""	18	65888	""
399	"Hvozdecká"	""	5	63500	""
400	"Behounská"	""	2	60200	""
401	"Chebská"	"81a"	370	36006	""
402	"Helceletova"	""	2	60200	""
403	"Pruchodní"	"2"	377	60200	""
404	"Londýnské námestí"	""	1	63900	""
405	"Starobrnenská"	""	1	60200	""
406	"Vánova"	""	335	27001	""
407	"Starobrnenská"	""	14	60200	""
408	"Bezrucova"	""	6	67801	""
409	"Mojmírovo námestí"	""	4	61200	""
410	"Netroufalky"	""	7	62500	""
411	"Palachovo námestí"	"2"	726	62500	""
412	"Trída kapitána Jaroše"	""	13	60200	""
413	"Novobranská"	""	4	60200	""
414	"martínkova"	""	7	60200	""
415	"Veverí"	""	6	60200	""
416	"Cejl 21"	""	21	60200	""
417	"Trída Kapitána Jaroše"	""	20	60200	""
418	"Cimburkova"	""	4	61200	""
419	"Brnenská"	""	404	66442	""
420	"U Dálnice"	""	777	63500	""
421	"Jánská"	"25"	460	60200	""
422	"Kounicova"	""	6	60200	""
423	"Písníky"	"18"	409	62000	""
424	"Hrncírská"	""	5	60200	""
425	"Pánská"	""	6	60200	""
426	"Konicova"	""	6	60200	""
427	"Jugoslávská"	""	18	61300	""
428	"Zelný trh"	""	2	60200	""
429	"Prístavní"	""	81	63500	""
430	"Tyršova 480, Kurim"	""	480	66434	""
431	"Kosmákova"	""	4	69301	""
432	"Krtiny"	""	26	67905	""
433	"Kounicova"	"11"	270	60200	""
434	"Nedvedice"	""	31	59262	""
435	"námestí 28. ríjna"	"16"	1106	60200	""
436	"Mendlovo námestí"	""	11	60200	""
437	"bratrí Capku"	""	14	60200	""
438	"Námestí Svobody"	"5"	103	60200	""
439	"Jakubské nám."	""	1	60200	""
440	"Velké námestí"	""	24	76701	""
441	"Cešnovice"	""	23	37341	""
442	"Pruchodní"	""	1	60200	""
443	"Kozí"	""	8	60200	""
444	"Dlouhá"	""	21	11000	""
445	"Lidická"	""	18	60200	""
446	"Moravské námestí"	""	4	60200	""
447	"Denisova"	""	6	77900	""
448	"Karlovo námestí"	""	30	12000	""
449	"Bulhary"	""	90	69189	""
450	"Husova"	""	39	50601	""
451	"Lidická"	""	14	60200	""
452	"Týnská"	""	21	11001	""
453	"Františkánská"	""	6	60200	""
454	"Hlavní"	""	2	66491	""
455	"Hlavní"	""	34	66701	""
456	"Bayerova/Hrncírská"	""	23	60200	""
457	"Modrínová"	""	599	67401	""
458	"Palackého"	""	35	61200	""
459	"Herbenova"	""	4	69301	""
460	"Dominikánské nám."	""	3	60200	""
461	"Libušská"	"126"	319	14200	""
462	"Behounská"	""	15	60200	""
463	"Mácova"	""	25	62100	""
464	"Horní Valy"	"6"	3747	69503	""
465	"Provazníkova"	""	40	61300	""
466	"Cicovice"	""	45	25268	""
467	"Ždárská"	""	22	58263	""
468	"Jaselská"	""	2	60200	""
469	"Slovákova"	""	8	60200	""
470	"Sv. Cecha"	""	17	68001	""
471	"Kopeckého sady"	""	12	30100	""
472	"U Libenského pivovaru"	""	14	18000	""
473	"Nám. Svobody"	""	3	60200	""
474	"Tr. Kapt. Jaroše"	""	7	60200	""
475	"Merhautova"	""	98	61300	""
476	"Žebetín"	""	177	64100	""
477	"Josefská"	"9"	698	60200	""
478	"nám. Svobody"	""	16	60200	""
479	"Sokolská"	""	4	60200	""
480	"Nám. 28. ríjna"	""	30	66601	""
481	"Botanická"	""	19	60200	""
482	"Veverí"	""	61	60200	""
483	"Brno, Veveri"	""	61	60200	""
484	"Vladislavova"	""	18	11000	""
485	"Jiraskova"	""	34	60200	""
486	"Behounská"	""	20	60200	""
487	"Na Mustku"	""	37	58856	""
488	"U hrište"	""	737	66442	""
489	"Rakovecká"	""	34	63500	""
490	"Masarykova"	""	8	60200	""
491	"behounska"	"14"	12	60200	""
492	"Pekarská"	""	4	60200	""
493	"Ceská"	""	29	60200	""
494	"Skácelova"	""	59	61200	""
495	"Králodvorská"	""	4	11000	""
496	"Beethovenova"	""	7	60200	""
497	"Prístavní"	""	1	25206	""
498	"U dalnice"	""	777	64442	""
499	"námestí Svobody"	""	8	60200	""
500	"Cujkovova"	""	30	70030	""
501	"Lidicka"	""	9	60200	""
502	"Halasovo námestí"	"6b"	822	63800	""
503	"Slovanské námestí"	""	1	61200	""
504	"Vinohradská"	""	45	12000	""
505	"Krížová"	""	24	63900	""
506	"Hybešova"	""	20	60200	""
507	"U dálnice"	""	777	66442	""
508	"Žižkovo námestí"	""	20	39001	""
509	"Na golfovém hrišti"	""	1510	68401	""
510	"Na Golfu"	""	1772	66434	""
511	"Mnich"	""	811	37833	""
512	"Rooseveltova"	""	10	60200	""
513	"21. dubna"	""	657	69144	""
514	"Purkynova"	""	99	61200	""
515	"Vavrinecká"	""	40	62400	""
516	"Krížkovského"	""	47	60373	""
517	"Fanderlíkova"	""	19	61600	""
518	"Krkonošská"	""	16	54301	""
519	"Komenského"	""	86	51401	""
520	"Vinohradská"	""	83	12000	""
521	"Premyslovo námestí"	""	22	62700	""
522	"Husitská"	""	3	61200	""
523	"Dobrovského"	""	29	61200	""
524	"Masarova"	""	9	62800	""
525	"Havelská"	""	21	11000	""
526	"Božetechova"	""	102	61200	""
527	"Reznická"	""	1	60200	""
528	"Pionýrská"	""	9	60200	""
529	"Pekarská"	""	29	60200	""
530	"Svratecká"	""	11	62400	""
531	"Vodickova"	"12"	5	12000	""
532	"Lechovice"	""	9	67163	""
533	"Staré Hamry"	""	82	73915	""
534	"Nový Hrozenkov"	""	241	75604	""
535	"Nový Hrozenkov"	""	244	75604	""
536	"Díly"	""	124	34401	""
537	"Ještedská"	""	149	46008	""
538	"Štenclova"	""	173	53303	""
539	"Hradcany"	""	20	66603	""
540	"prujezd Anýžovou ulicí na jih - HRADLO ! Poštovní adresa:Buštehradská"	""	387	27203	""
541	"Budovcova"	""	2	61200	""
542	"Velká Mikulášská 11"	""	11	66902	""
543	"Wonkova"	""	783	50002	""
544	"Zahájí"	""	12	58401	""
545	"Údolní"	""	7	60200	""
546	"Za divadlem"	""	2	60200	""
547	"Podlipná"	""	25	62000	""
548	"Gorkého"	""	54	60200	""
549	"Šmelcovna"	""	48	66483	""
550	"Drevarská"	"40"	806	60200	""
551	"Krtiny"	""	21	67905	""
552	"Žerotínovo námestí"	"17"	19	67401	""
553	"Smetanova"	""	30	60200	""
554	"Jamné"	""	30	66601	""
555	"Ochoz u Brna"	""	228	66402	""
556	"Vémyslice"	""	73	67142	""
557	"Peroutkova"	""	81	15800	""
558	"Pivovarská"	""	107	56943	""
559	"Petra Bezruce"	""	720	69142	""
560	"Námestí Svobody"	""	32	68501	""
561	"Skorotice-Chlébské"	""	1	59262	""
562	"nám. Svobody"	""	8	69183	""
563	"Hradební"	""	3037	39001	""
564	"Nádražní"	""	909	68401	""
565	"Knínicky"	""	814	63500	""
566	"Na Kopecku"	""	595	29001	""
567	"nám. Svobody"	""	6	66442	""
568	"Lužní"	""	215	69201	""
569	"Slívova"	"7"	1946	71000	""
570	"Dolní"	""	133	67911	""
571	"Trebícská"	"10"	342	59401	""
572	"Havlíckova"	""	21	50601	""
573	"Nám. Sítná"	""	3113	27201	""
574	"Kurdejov"	""	88	69301	""
575	"Školní"	""	8	37010	""
576	"Heršpická"	""	7	63900	""
577	"Nad Pisárkami"	""	1	62300	""
578	"Deštné v O. h."	""	184	51791	""
579	"Ceškovice"	""	168	67801	""
580	"Klentnická ulice"	""	174	69201	""
581	"Na hradbách"	""	5	69301	""
582	"Krtiny"	""	20	67905	""
583	"Palackého nám."	""	75	68401	""
584	"Kvilda"	""	26	38493	""
585	"Husova"	""	8	69201	""
586	"Palackého"	""	4	66417	""
587	"Malé Námestí"	""	117	50002	""
588	"Dr. Veselého"	""	169	76326	""
589	"Capartice"	""	14	34401	""
590	"Lechovice"	""	56	67163	""
591	"Masarykovo nám."	""	107	37901	""
592	"Hnanice"	""	132	66902	""
593	"Rakovecká"	""	13	63500	""
594	"Keplerova"	""	6	11800	""
595	"Špilberk"	""	1	60200	""
596	"Hlohovec"	""	16	69143	""
597	"Blato"	""	28	37833	""
598	"Zámek"	""	1	69142	""
599	"Kozí"	"5"	916	11000	""
600	"Žilkova"	""	21	62100	""
601	"Kobližná"	""	12	60200	""
602	"U Dálnice"	""	777	63500	""
603	"Kvilda"	""	27	38493	""
604	"Krásná"	""	270	73904	""
605	"Sv. Anežky Ceské"	""	29	53002	""
606	"Námestí"	""	105	75701	""
607	"Lidická"	""	38	60000	""
608	"Šmeralova"	"22"	272	17000	""
609	"Zelný trh"	""	2	60200	""
610	"Valdštejnova"	""	20	35001	""
611	"Jungmannovo námestí"	""	19	11000	""
612	"Josefská"	""	14	60200	""
613	"Geislerova"	""	34	61500	""
614	"Heydukova"	""	172	39701	""
615	"Otakarova"	""	1253	68600	""
616	"Ceská u Brna"	""	32	66431	""
617	"Štefánikova"	""	26	60200	""
618	"Zámecnická"	""	2	60200	""
619	"Purkynova"	""	4	12000	""
620	"Behounská"	""	20	60200	""
621	"Hilleho"	""	5	60200	""
622	"Jakubské nám."	"6"	128	60200	""
623	"Národní"	"17"	981	11000	""
624	"Nový Prerov"	""	43	69181	""
625	"Lidická"	""	12	60200	""
626	"Orlí"	""	1	60200	""
627	"Sukova"	""	2	60200	""
628	"Kozí"	""	8	60200	""
629	"Harantova"	""	261	50901	""
630	"U Kaple"	""	166	59242	""
631	"Cejl"	""	43	60200	""
632	"Rumunská"	""	15	12000	""
633	"Božetechova"	""	1	61200	""
634	"Minská"	""	34	61600	""
635	"Petrská"	"12"	1136	11000	""
636	"Žarošická"	""	24	62900	""
637	"Kuldova"	""	1	60000	""
638	"Merhautova"	""	234	61300	""
639	"Kopecná"	""	46	60200	""
640	"Jana Želivského"	""	10	13000	""
641	"Veverí"	""	10	60200	""
642	"Kolejní"	""	15	61200	""
643	"Štetkova"	"18"	1638	14000	""
644	"Kamenná"	""	1	60200	""
645	"Suchého"	"10"	522	62100	""
646	"U Dobrenských"	""	3	11000	""
647	"Pivovarská"	""	75	38501	""
648	"Táborská"	""	232	61500	""
649	"Poštovská"	""	6	60200	""
650	"Žebetínská"	""	70	62300	""
651	"Zemedelská"	""	30	61300	""
652	"Solnicní"	"17"	15	66216	""
653	"Smetanovo nábreží"	"2"	1012	11000	""
654	"Pekarská"	""	14	60200	""
655	"Brnenska"	""	152	66601	""
656	"Hybešova"	""	30	60200	""
657	"Panská"	""	1	60200	""
658	"Ketkovice"	""	211	66491	""
659	"Libušina trída"	""	2	62300	""
660	"Tr. kpt. Jaroše"	""	26	60200	""
661	"Národní"	""	8	10001	""
662	"Klášter"	""	1	66401	""
663	"Dominikánské nám."	""	3	60200	""
664	"Bucovická"	""	270	68401	""
665	"Veleslavínova"	""	14	61200	""
666	"Veleslavínova"	""	14	61200	""
667	"Palackeho"	""	124	61200	""
668	"Údolní"	""	11	60200	""
669	"Dolní Becva"	""	35	75655	""
670	"Finská"	""	8	79601	""
671	"Budejovická"	"13a"	1518	14000	""
672	"Bayerova"	""	10	60200	""
673	"Bayerova"	""	10	60200	""
674	"Krídlovická"	""	34	60200	""
675	"Maltézské námestí 10"	""	10	11800	""
676	"K Berte"	""	183	37901	""
677	"Soukenicka"	""	9	70200	""
678	"Minská"	""	26	61600	""
679	"Horova"	""	30	61600	""
680	"Tomáškova"	""	2	61500	""
681	"Branišovice"	""	200	67177	""
682	"Mikuláše Strely"	""	223	58266	""
683	"Za pilou"	""	6	79001	""
684	"Veverí"	""	34	60200	""
685	"Komenského"	""	596	69701	""
686	"Petrská / Petrov"	""	2	60143	""
687	"Legionárská"	""	266	66434	""
688	"Palackého"	""	47	61200	""
689	"Údolní"	""	33	60200	""
690	"Na Rybníku"	""	1057	68601	""
691	"Dlouhá"	"730"	35	11000	""
692	"námestí 28.dubna"	""	2	63500	""
693	"námestí Svornosti"	"6"	2573	61600	""
694	"Platnérská"	"13"	90	11000	""
695	"Veselá"	""	3	60200	""
696	"Kolište"	""	71	60200	""
697	"U Leskavy"	""	39	62500	""
698	"Jakuba Obrovského"	""	1	63500	""
699	"Štupartská"	""	9	11000	""
700	"Kozí"	"12"	641	60200	""
701	"Kounicova"	""	53	60200	""
702	"Pálavské nám."	""	5	62900	""
703	"Kozí"	""	8	60200	""
704	"Strekovské nábreží"	""	981	40003	""
705	"Kuklenska"	""	38	61500	""
706	"Parkán"	""	105	38101	""
707	"Brehová"	""	6	11000	""
708	"Landštejn"	""	3	37881	""
709	"Vídenská"	""	36	63900	""
710	"Latrán"	""	37	38101	""
711	"Benešova"	"18"	605	60200	""
712	"Horní"	""	213	54351	""
713	"Legerova"	""	39	12000	""
714	"Behounská"	""	15	60200	""
715	"Sukova"	""	2	60200	""
716	"Malinovského námestí"	""	2	60200	""
717	"Pražská 1/IV"	"IV"	1	50351	""
718	"radnická"	""	7	60200	""
719	"Štefánikova"	""	35	60200	""
720	"Mácova"	""	5	62100	""
721	"Kotlanova"	""	5	62800	""
722	"Dominikánské nám."	""	5	61300	""
723	"Roztylská"	""	2321	14800	""
724	"Novodvorská"	""	1800	14200	""
725	"Radlická"	""	117	15800	""
726	"Pražská trída"	""	1247	37004	""
727	"Krížkovského"	""	47	60373	""
728	"Kozí"	""	3	60200	""
729	"Krenová"	""	24	60200	""
730	"Skalní"	""	89	67401	""
731	"Husova"	""	16	65921	""
732	"Okrajová"	""	1350	67401	""
733	"Pec pod Snežkou"	""	203	54221	""
734	"Komenského trída"	""	608	69701	""
735	"Nuselská"	"114"	159	14000	""
736	"Svídnická"	""	506	18000	""
737	"Hrncírská"	""	6	60200	""
738	"Velenova"	""	8	68001	""
739	"Durdákova"	""	5	61300	""
740	"Ceskobratrská"	""	1	41501	""
741	"Sokolovská"	"26"	65	18600	""
742	"Bašty"	""	8	60200	""
743	"Vapenka"	"1"	3060	36300	""
744	"Belohorská"	""	61	63600	""
745	"Orlí"	""	6	60200	""
746	"Jankovcova"	""	12	17000	""
747	"Ondrova"	""	21	63500	""
748	"Maršovice"	""	1	59231	""
749	"Šilingrovo námestí"	"5"	4	60200	""
750	"Francouzská"	""	97	60200	""
751	"Táborská"	""	83	61500	""
752	"Poštovská"	""	6	60200	""
753	"Úvaly u Valtic"	""	77	69142	""
754	"Starobrnenská"	""	16	60200	""
755	"Pionýrská"	""	7	60200	""
756	"Vídenská"	""	55	63900	""
757	"Makovského námestí"	"3"	2	61600	""
758	"U sokolovny"	""	46	63500	""
759	"Evropské námestí"	""	153	54301	""
760	"Veletržní"	""	13	60300	""
761	"Mitrov"	""	9	59253	""
762	"Ružová"	"2"	41	37701	""
763	"Sokolovská , 186 00 Praha 8"	"29"	327	18600	""
764	"Novotného lávka"	""	9	11000	""
765	"Kounicova"	""	2	60200	""
766	"Národní"	"416"	37	11000	""
767	"Opletalova"	""	32	11000	""
768	"Hudcova"	""	2	62100	""
769	"Údolní"	"76"	532	60200	""
770	"Križkovského"	""	47	60337	""
771	"Krížkovského"	""	47	60373	""
772	"Horni namesti"	""	23	77200	""
773	"Šatov"	""	337	67122	""
774	"Nešverova"	""	2	77900	""
775	"Poddubí"	""	49	25161	""
776	"Slavkovská"	""	1145	68301	""
777	"Cestice"	""	29	51741	""
778	"Brumovská"	""	196	76601	""
779	"Hodešovice"	""	75	53401	""
780	"Karlovarská"	""	51	27054	""
781	"OKAREC"	""	43	67502	""
782	"Kelcice"	""	139	79808	""
783	"Starý Jicín"	""	125	74101	""
784	"Rozhraní"	""	60	56903	""
785	"Malá Štupartská"	""	3	11000	""
786	"Holandská"	""	5	63900	""
787	"Radnická"	""	11	60200	""
788	"Rožmberská"	""	33	37901	""
789	"Kollárova"	""	801	68401	""
790	"Cernopolní"	""	54	61300	""
791	"Semice"	""	346	28917	""
792	"Behounská"	""	9	60200	""
793	"Manicky"	""	12	61600	""
794	"Námestí"	""	3	59401	""
